,fpos1,fpos2,fvel1,fvel2,facc1,facc2,spos1,spos2,svel1,svel2,sacc1,sacc2
2432,0.18473949914155516,0.17428126490285897,0.22756146904197921,0.2164605278582528,0.14346726897226267,0.10161668828301042,0.1659693937396387,0.27088713455580804,0.11367357118044435,0.5014142763172739,-0.13603720283123852,0.48710667169408844
2433,0.18788997558828793,0.17705575040926613,0.23398609949846538,0.22205920745785493,0.15031498133183652,0.10760957598795379,0.166082999123747,0.2713887923680805,0.11353719703614042,0.5019013482276508,-0.13637414430417777,0.48707191037741937
2434,0.1869108469589116,0.17822760596376636,0.23152922932504186,0.22420784514068232,0.14747272420341628,0.10983462957702837,0.1661964679652492,0.2718909372344533,0.11340048596837077,0.5023883845178216,-0.13671106776976105,0.4870362901712407
2435,0.18767119965272805,0.18490254774896064,0.23281302489787584,0.23818067311619173,0.14871146171701702,0.12494706873030206,0.16630979992723122,0.2723935691188767,0.11326343799549346,0.5028753843293811,-0.13704797287756668,0.486999811559919
2436,0.18457765256402514,0.18013062812653607,0.22581284015531028,0.22753819520394067,0.14091849885598895,0.11320957239689233,0.1664229946727972,0.2728966879844433,0.1131260531361942,0.503362346804377,-0.13738485929933875,0.48696247499610523
2437,0.18148279467038936,0.17751424843577604,0.21881696017165764,0.22153925340711417,0.13313897320019297,0.10654697172160078,0.16653605186507006,0.273400293793388,0.11298833140949341,0.5038492710852314,-0.13772172670090282,0.48692428085477313
2438,0.18835452212507311,0.1733382985811963,0.233248388220482,0.21219460433377532,0.14872444052362907,0.09624494842716351,0.16664897116719207,0.2739043865070881,0.1128502728347759,0.5043361563147348,-0.13805857471727187,0.48688522950302277
2439,0.1854776032758833,0.17529261254410491,0.22671245538186952,0.21603497937504065,0.14143824236478503,0.10032600638567049,0.16676175224232534,0.2744089660860636,0.11271187743186868,0.5048230016361444,-0.13839540290721214,0.48684532140943504
2440,0.18261038623758633,0.1749262687000819,0.22020401696481726,0.2148835016787587,0.13419018697754595,0.09896159873789295,0.16687439475365182,0.2749140324899782,0.11257314522099827,0.5053098061932819,-0.13873221087036844,0.48680455713727616
2441,0.18640936357585963,0.1708718097290135,0.22802999822538536,0.20580616635840562,0.14257361187146558,0.0889601835552007,0.16698689836437375,0.27541958567764,0.11243407622274858,0.5057965691305722,-0.13906899824992416,0.4867629372909183
